Pair,Metric,MAE,sex,race
P2/P1,Label Train,0.93,(0.00) 0.43,(0.00) 0.24
P2/P1,Label Test,0.96,(0.00) 0.47,(0.00) 0.20
P2/P1,Model Train,0.95,(0.00) 0.41,(0.00) 0.27
P2/P1,Model Test (Unbiased Bridge),1.00,(0.00) 0.45,(0.00) 0.19
P2/P1,Biased Bridge,0.00,(0.00) 0.47,(0.01) 0.16
P2/P2,Label Train,0.00,(0.50) 0.00,(0.50) 0.00
P2/P2,Label Test,0.00,(0.50) 0.00,(0.50) 0.00
P2/P2,Model Train,0.09,(0.03) -0.06,(0.00) 0.10
P2/P2,Model Test (Unbiased Bridge),0.24,(0.43) -0.01,(0.40) -0.02
P2/P2,Biased Bridge,0.00,(0.36) 0.02,(0.15) -0.07
P2/P3,Label Train,0.65,(0.02) -0.06,(0.00) 0.15
P2/P3,Label Test,0.69,(0.34) -0.02,(0.01) 0.16
P2/P3,Model Train,0.69,(0.01) -0.08,(0.00) 0.17
P2/P3,Model Test (Unbiased Bridge),0.76,(0.32) -0.03,(0.02) 0.15
P2/P3,Biased Bridge,0.00,(0.41) -0.01,(0.04) 0.12
P2/Average,Label Train,0.44,(0.00) 0.12,(0.01) 0.08
P2/Average,Label Test,0.44,(0.00) 0.17,(0.09) 0.09
P2/Average,Model Train,0.44,(0.00) 0.08,(0.00) 0.14
P2/Average,Model Test (Unbiased Bridge),0.46,(0.01) 0.15,(0.14) 0.07
P2/Average,Biased Bridge,0.00,(0.00) 0.16,(0.40) 0.01
